matrix size,GFLOPS/s,parallel_GFLOP/s
50,0.525243,0.352038
60,0.540330,0.359063
70,0.550432,0.364252
80,0.557087,0.367763
90,0.568366,0.373796
100,0.575219,0.376573
110,0.578866,0.378362
120,0.584123,0.380199
130,0.586503,0.382291
140,0.590224,0.382944
150,0.592841,0.383955
160,0.593970,0.382669
170,0.597860,0.385475
180,0.583611,0.380145
190,0.591725,0.382624
200,0.591169,0.382229
210,0.579736,0.378378
220,0.584581,0.379153
230,0.585001,0.380058
240,0.569131,0.365457
250,0.533271,0.358695
260,0.556275,0.362171
270,0.521479,0.349551
280,0.563860,0.354540
290,0.515824,0.342943
300,0.542032,0.344823
